Time2,Vm2,Cai2
0,-75.5966016388547,0.000219191642424964
0.02,-75.5961336150002,0.000219170415799668
0.04,-75.595665968935,0.000219149191866902
0.06,-75.5951987057297,0.000219127970687281
0.26,-75.5905578589322,0.000218915998739684
0.46,-75.5859522267975,0.000218704301965584
0.66,-75.5813816500588,0.000218492887810423
1.66,-75.5592463235728,0.000217442184897527
2.66,-75.5378616992779,0.000216398755188027
3.66,-75.5171892964398,0.000215362833196238
4.66,-75.4970664025173,0.000214333064252227
5.66,-75.4775213985751,0.000213310217662539
6.66,-75.4585622374966,0.000212294828375491
7.66,-75.4401692841399,0.000211287089507057
8.66,-75.4223128806544,0.000210287036156234
9.66,-75.4049627163079,0.00020929465011422
10.66,-75.3880905465419,0.000208309895765108
11.66,-75.3716704315023,0.000207332729146729
12.66,-75.3556784411542,0.000206363100135817
13.66,-75.3400923734842,0.000205400953607641
14.66,-75.3248915534104,0.00020444623055957
15.66,-75.3100566847617,0.000203498869154702
16.66,-75.2955697309279,0.000202558805599533
17.66,-75.2814138124389,0.000201625974843914
18.66,-75.2675731164898,0.000200700311127212
19.66,-75.2540328159782,0.000199781748400696
20.66,-75.2407789964993,0.000198870220652208
21.66,-75.2277985901239,0.00019796566215388
22.66,-75.2150793150328,0.000197068007649213
23.66,-75.2026096202633,0.000196177192492378
24.66,-75.1903794241411,0.00019529315802874
25.66,-75.1783782824077,0.000194415840005432
26.66,-75.1665960631093,0.000193545173105144
27.66,-75.1550234213963,0.000192681094272604
28.66,-75.1436517567069,0.000191823542743398
29.66,-75.1324730186147,0.000190972459092006
30.66,-75.1214795862999,0.000190127784694898
31.66,-75.1106642316022,0.000189289461667606
32.66,-75.1000201093713,0.000188457432946847
33.66,-75.0895407424734,0.00018763164233308
34.66,-75.07921999885,0.000186812034478362
35.66,-75.0690520673341,0.000185998554855687
36.66,-75.0590314360073,0.000185191149731541
37.66,-75.0491528731829,0.000184389766144093
38.66,-75.0394114100535,0.000183594351883275
39.66,-75.0298023244259,0.000182804855470503
40.66,-75.0203211254193,0.000182021226137949
41.66,-75.010963539152,0.000181243413807986
42.66,-75.0017254954022,0.000180471369073189
43.66,-74.99260311518,0.000179705043177013
44.66,-74.9835926991335,0.000178944387995141
45.66,-74.9746907167196,0.000178189356017491
46.66,-74.9658937960871,0.000177439900330896
47.66,-74.9571987146219,0.000176695974602474
48.66,-74.9486023901101,0.000175957533063669
49.66,-74.9401018724747,0.000175224530494967
50.66,-74.9316943360467,0.000174496922211268
51.66,-74.9233770723331,0.000173774664047884
52.66,-74.9151474832482,0.000173057712347159
53.66,-74.9070030747756,0.000172346023945667
54.66,-74.8989414510323,0.000171639556161988
55.66,-74.8909603087073,0.000170938266785012
56.66,-74.8830574318499,0.000170242114062773
57.66,-74.875230686983,0.000169551056691765
58.66,-74.8674780185216,0.000168865053806737
59.66,-74.859797444474,0.000168184064970931
60.66,-74.8521870524087,0.000167508050166748
61.66,-74.8446449956691,0.000166836969786813
62.66,-74.8371694898183,0.000166170784625433
63.66,-74.8297588093016,0.000165509455870415
64.66,-74.8224112843099,0.000164852945095227
65.66,-74.8151252978332,0.000164201214251496
66.66,-74.8078992828898,0.000163554225661812
67.66,-74.8007317199221,0.000162911942012829
68.66,-74.7936211343465,0.000162274326348651
69.66,-74.7865660942489,0.000161641342064475
70.66,-74.779565208216,0.0001610129529005
71.66,-74.7726171232937,0.000160389122936063
72.66,-74.7657205230648,0.000159769816584012
73.66,-74.7588741258391,0.000159154998585294
74.66,-74.7520766829475,0.000158544634003738
75.66,-74.7453269771354,0.00015793868822105
76.66,-74.7386238210481,0.000157337126931975
77.66,-74.731966055802,0.000156739916139648
78.66,-74.7253525496387,0.000156147022151105
79.66,-74.7187821966543,0.00015555841157295
80.66,-74.7122539156004,0.000154974051307183
81.66,-74.7057666487535,0.000154393908547155
82.66,-74.6993193608463,0.000153817950773676
83.66,-74.6929110380599,0.000153246145751233
84.66,-74.6865406870707,0.000152678461524351
85.66,-74.6802073341508,0.000152114866414052
86.66,-74.6739100243174,0.000151555329014438
87.66,-74.6676478205291,0.00015099981818937
88.66,-74.6614198029255,0.000150448303069255
89.66,-74.6552250681084,0.000149900753047922
90.66,-74.6490627284619,0.000149357137779593
91.66,-74.6429319115085,0.000148817427175936
92.66,-74.6368317593002,0.000148281591403207
93.66,-74.6307614278416,0.00014774960087946
94.66,-74.6247200865437,0.000147221426271843
95.66,-74.6187069177064,0.000146697038493955
96.66,-74.6127211160282,0.000146176408703277
97.66,-74.606761888141,0.000145659508298664
98.66,-74.6008284521699,0.0001451463089179
99.66,-74.5949200373149,0.00014463678243531
100.66,-74.589035883454,0.000144130900959429
101.66,-74.5831752407673,0.000143628636830726
102.66,-74.577337369379,0.000143129962619372
103.66,-74.5715215390183,0.000142634851123065
104.66,-74.565727028697,0.000142143275364894
105.66,-74.5599531264026,0.000141655208591254
106.66,-74.5541991288073,0.000141170624269795
107.66,-74.5484643409906,0.000140689496087418
108.66,-74.5427480761757,0.000140211797948306
109.66,-74.5370496554781,0.000139737503971995
110.66,-74.5313684076671,0.000139266588491472
111.66,-74.5257036689377,0.000138799026051322
112.66,-74.5200547826933,0.000138334791405886
113.66,-74.5144210993391,0.000137873859517474
114.66,-74.5088019760845,0.000137416205554582
115.66,-74.5031967767543,0.000136961804890162
116.66,-74.4976048716087,0.000136510633099898
117.66,-74.4920256371716,0.000136062665960523
118.66,-74.4864584560656,0.000135617879448154
119.66,-74.4809027168551,0.000135176249736648
120.66,-74.4753578138953,0.000134737753195991
121.66,-74.469823147188,0.0001343023663907
122.66,-74.4642981222433,0.000133870066078248
123.66,-74.4587821499472,0.000133440829207514
124.66,-74.4532746464339,0.000133014632917245
125.66,-74.4477750329639,0.000132591454534546
126.66,-74.4422827358062,0.00013217127157338
127.66,-74.4367971861256,0.00013175406173309
128.66,-74.4313178198735,0.000131339802896936
129.66,-74.4258440776835,0.000130928473130652
130.66,-74.42037540477,0.000130520050681013
131.66,-74.4149112508308,0.000130114513974421
132.66,-74.409451069953,0.000129711841615507
133.66,-74.4039943205217,0.000129312012385743
134.66,-74.3985404651321,0.000128915005242072
135.66,-74.3930889705043,0.000128520799315548
136.66,-74.3876393074,0.000128129373909994
137.66,-74.3821909505428,0.000127740708500665
138.66,-74.3767433785401,0.000127354782732931
139.66,-74.3712960738071,0.000126971576420969
140.66,-74.3658485224933,0.000126591069546463
141.66,-74.3604002144103,0.000126213242257322
142.66,-74.3549506429621,0.000125838074866404
143.66,-74.3494993050764,0.000125465547850255
144.66,-74.3440457011377,0.000125095641847853
145.66,-74.3385893349222,0.000124728337659368
146.66,-74.3331297135334,0.000124363616244926
147.66,-74.3276663473396,0.000124001458723393
148.66,-74.322198749912,0.000123641846371154
149.66,-74.3167264379643,0.000123284760620915
150.66,-74.3112489312933,0.000122930183060509
151.66,-74.3057657527202,0.000122578095431708
152.66,-74.3002764280329,0.000122228479629048
153.66,-74.294780485929,0.000121881317698663
154.66,-74.2892774579597,0.000121536591837126
155.66,-74.2837668784744,0.000121194284390298
156.66,-74.2782482845653,0.000120854377852188
157.66,-74.2727212160136,0.000120516854863819
158.66,-74.2671852152351,0.000120181698212104
159.66,-74.2616398272274,0.000119848890828727
160.66,-74.256084599516,0.000119518415789037
161.66,-74.2505190821023,0.000119190256310944
162.66,-74.244942827411,0.00011886439575383
163.66,-74.2393553902377,0.000118540817617458
164.66,-74.2337563276973,0.000118219505540901
165.66,-74.2281451991722,0.000117900443301467
166.66,-74.2225215662605,0.000117583614813638
167.66,-74.2168849927247,0.000117269004128016
168.66,-74.2112350444402,0.000116956595430273
