time_trimmed,Vm,Cai
100000.160777576,-59.8888971860879,0.000514307221108338
100000.51053137,-60.0802639426022,0.000513733793003629
100000.860285164,-60.2709622427808,0.000513159871951052
100001.210038957,-60.4609492415918,0.000512585491121283
100001.559792751,-60.6501938209738,0.000512010648353877
100001.909546545,-60.8386681340738,0.000511435329619674
100002.784890152,-61.3067389050989,0.000509993282120512
100003.660233759,-61.7693092013799,0.000508548117850503
100004.535577366,-62.225884039397,0.000507099876864978
100005.410920974,-62.6759480007832,0.000505648679626336
100006.410920974,-63.1815314237276,0.000503987414396056
100007.410920974,-63.6772588301299,0.000502322820071725
100008.410920974,-64.1624206193189,0.000500655251567905
100009.410920974,-64.6363795123286,0.000498985077761553
100010.410920974,-65.0985700472109,0.000497312682495756
100011.410920974,-65.5484960415558,0.000495638455690269
100012.410920974,-65.9857332030904,0.000493962786245765
100013.410920974,-66.409922535977,0.000492286068152055
100014.410920974,-66.820777167645,0.000490608690880464
100015.410920974,-67.2180755789679,0.000488931041793336
100016.410920974,-67.6016668245102,0.000487253500492489
100017.410920974,-67.9714598853976,0.000485576440265688
100018.410920974,-68.3274300268671,0.00048390022526399
100019.410920974,-68.6696023787627,0.000482225210126752
100020.410920974,-68.9980601247479,0.000480551740090226
100021.410920974,-69.3129355983081,0.000478880147567877
100022.410920974,-69.6144073193442,0.000477210753359481
100023.410920974,-69.9026884791834,0.000475543866901299
100024.410920974,-70.1780325448727,0.000473879784209874
100025.410920974,-70.4407194079819,0.00047221878923896
100026.410920974,-70.6910564301541,0.000470561151674317
100027.410920974,-70.929370930997,0.000468907128670602
100028.410920974,-71.1560149584646,0.000467256964218361
100029.410920974,-71.3713523413496,0.000465610889879004
100030.410920974,-71.5757563489211,0.000463969123403519
100031.410920974,-71.769607625985,0.000462331870785586
100032.410920974,-71.9532929752898,0.000460699324562665
100033.410920974,-72.1272019944789,0.000459071667420452
100034.410920974,-72.2917246218263,0.000457449068708025
100035.410920974,-72.4472464959175,0.000455831686219024
100036.410920974,-72.5941505484134,0.00045421966750902
100037.410920974,-72.7328100696141,0.000452613148955196
100038.410920974,-72.8636285516294,0.000451012266463811
100039.410920974,-72.986948440817,0.00044941713218605
100040.410920974,-73.1031104877727,0.00044782785408691
100041.410920974,-73.2124498151295,0.000446244527708401
100042.410920974,-73.3152940994323,0.000444667243204484
100043.410920974,-73.4119616134954,0.000443096083738273
100044.410920974,-73.5027351794558,0.00044153111953024
100045.410920974,-73.5879170302111,0.000439972421355145
100046.410920974,-73.6678061900047,0.000438420055071416
100047.410920974,-73.7426825901326,0.000436874078147684
100048.410920974,-73.8128074444941,0.000435334540263542
100049.410920974,-73.8784282609043,0.00043380148495292
100050.410920974,-73.9397816761078,0.000432274950610902
