time_trimmed_2,Vm2,Cai2
100000.721367114,-70.3104471429456,0.000127590946145815
100001.721367114,-70.2606270406815,0.000127391489740509
100002.721367114,-70.2097101258535,0.000127194325949614
100003.721367114,-70.1576507217481,0.000126999471492643
100004.721367114,-70.1044004354743,0.000126806944418846
100005.721367114,-70.0499079449517,0.000126616764192844
100006.721367114,-69.9941187650005,0.000126428951787763
100007.721367114,-69.9369749900503,0.000126243529786661
100008.721367114,-69.8784150106358,0.000126060522493173
100009.721367114,-69.8183732004392,0.000125879956052391
100010.721367114,-69.7567795701669,0.000125701858583131
100011.721367114,-69.6935593839936,0.00012552626032293
100012.721367114,-69.6286327336549,0.000125353193787265
100013.721367114,-69.5619140645032,0.000125182693944703
100014.721367114,-69.4933116469378,0.000125014798409979
100015.721367114,-69.4227269855434,0.000124849547657223
100016.721367114,-69.3500541569968,0.000124686985255971
100017.721367114,-69.2751790662715,0.000124527158132946
100018.721367114,-69.1979786088437,0.000124370116863102
100019.721367114,-69.1183197243949,0.000124215915993967
100020.721367114,-69.0360583248416,0.000124064614408031
100021.721367114,-68.9510380762846,0.000123916275728696
100022.721367114,-68.8630890105096,0.000123770968776294
100023.721367114,-68.7720259368226,0.000123628768081865
100024.721367114,-68.6776466190119,0.000123489754467783
100025.721367114,-68.5797296748008,0.000123354015706078
100026.721367114,-68.4780321458869,0.000123221647267422
100027.721367114,-68.3722866750232,0.000123092753176364
100028.721367114,-68.2621982118867,0.000122967446991681
100029.721367114,-68.1474401507563,0.000122845852934743
100030.721367114,-68.0276497790133,0.000122728107193915
100031.721367114,-67.9024228844536,0.000122614359439501
100032.721367114,-67.7713073289662,0.000122504774591926
100033.721367114,-67.6337953429678,0.000122399534896522
100034.721367114,-67.489314224402,0.000122298842371959
100035.721367114,-67.3372150314538,0.0001222029217174
100036.721367114,-67.1767587297586,0.00012211202378723
100037.721367114,-67.0070990787448,0.000122026429773985
100038.721367114,-66.8272612969201,0.000121946456283122
100039.721367114,-66.6361152008788,0.000121872461542094
100040.721367114,-66.4323410191691,0.00012180485306792
100041.721367114,-66.2143853642141,0.000121744097232601
100042.721367114,-65.9804037823772,0.000121690731330703
100043.721367114,-65.7281846966884,0.000121645378994133
100044.721367114,-65.4550470785326,0.000121608770157442
100045.721367114,-65.1577002660841,0.000121581767322399
100046.721367114,-64.8320479827412,0.000121565400721869
100047.721367114,-64.4729079559454,0.000121560916349736
100048.721367114,-64.0736000923351,0.00012156984308917
100049.721367114,-63.625322982031,0.000121594089067512
100050.721367114,-63.116176136659,0.000121636084355636
100051.721367114,-62.5295621056997,0.000121699000307195
100052.721367114,-61.839583450864,0.000121787264620383
100053.721367114,-61.0070189494256,0.000121907059333231
100054.721367114,-59.9697509696342,0.000122067328316897
100055.530837726,-58.9071826108468,0.000122236114962832
100056.340308338,-57.5269732984488,0.000122453224614166
100056.901461707,-56.2780771437303,0.000122642786594075
100057.345003286,-55.0242208841018,0.000122824084094249
100057.714108065,-53.7092323829254,0.000123003840869539
100058.021508629,-52.3360900457768,0.000123180733353336
100058.328909193,-50.5872363289253,0.000123392044626649
100058.553432821,-48.9669837256763,0.000123576615615603
100058.740348007,-47.3062842931443,0.000123757619658076
100058.927263193,-45.2625550801456,0.0001239737374549
100059.075235913,-43.2952409891119,0.000124179913493199
100059.223208633,-40.9514843229889,0.000124431012682774
100059.371181352,-38.189118574431,0.000124748214076739
100059.519154072,-35.0280411911439,0.000125165610306901
100059.667126792,-31.596327690717,0.000125735553137373
100059.783440739,-28.860716783815,0.000126336606963545
100059.899754686,-26.2309442059848,0.000127115314630343
100060.016068633,-23.7898234569766,0.00012810736075579
100060.13238258,-21.548930121985,0.000129336911030778
100060.248696527,-19.4620499081493,0.000130812862138754
100060.365010474,-17.4627307791583,0.00013253007648682
100060.460534905,-15.8447616035852,0.000134109478486379
100060.556059336,-14.2273038427799,0.000135827834960835
100060.651583767,-12.5983729730111,0.000137669444017193
100060.747108199,-10.9513866200291,0.000139615952223951
100060.84263263,-9.28649469548928,0.000141646886139188
100060.938157061,-7.61007134296574,0.000143740491031744
100061.033681493,-5.93206785701877,0.000145874658671486
100061.145334892,-3.98459217024045,0.00014839175457501
100061.234494256,-2.45318936886126,0.000150398503024105
100061.32365362,-0.95341044194813,0.000152386273047643
100061.412812983,0.506055815579573,0.000154342244509109
100061.501972347,1.91786166284685,0.000156255728149339
100061.591131711,3.2762061159853,0.000158118283494005
100061.680291074,4.57691465812248,0.000159923718564284
100061.784114227,6.01548671428242,0.000161948808280086
100061.88793738,7.370588553546,0.000163887883814683
100061.991760533,8.64258306780918,0.000165740849895363
100062.095583686,9.83360757008077,0.000167510085424254
100062.199406838,10.9471085943807,0.000169199834329146
100062.303229991,11.9873922353038,0.000170815627498788
100062.467138151,13.4921748057792,0.000173231123641115
100062.63104631,14.8458621166754,0.000175504045424708
100062.79495447,16.0672115453979,0.000177659854825009
100062.958862629,17.1726109806399,0.000179720933964736
100063.122770788,18.175665385686,0.000181705808981938
100063.286678948,19.0874130094487,0.00018362930394705
100063.425298719,19.7938672694445,0.000185216812186541
100063.56391849,20.4456989339169,0.000186774122986005
100063.666576073,20.8954558719758,0.000187910619228825
100063.769233656,21.3186046235119,0.000189034400486472
100063.871891239,21.7163303621096,0.000190146676514472
100063.974548822,22.0897337021861,0.000191248490440452
100064.055954848,22.369235175766,0.000192115382765819
100064.137360874,22.6345845399386,0.000192976659992233
100064.2187669,22.8862608491746,0.000193832683351702
100064.300172926,23.1247341125467,0.000194683787456217
100064.381578952,23.3504661977393,0.000195530282198074
100064.505084837,23.6696267778028,0.000196806390644749
100064.628590723,23.9620715608245,0.000198073479970492
100064.752096608,24.2293389730155,0.000199332400301988
100064.875602494,24.4729416394476,0.000200583937275977
100064.999108379,24.6943622631038,0.000201828817598343
100065.122614264,24.8950483272293,0.000203067711645104
100065.297028603,25.1458564747515,0.000204808261081535
100065.471442942,25.361923221658,0.000206539661638411
100065.645857282,25.5468598242601,0.000208263286856147
100065.820271621,25.704055692851,0.000209980323719419
100065.99468596,25.8366659375239,0.000211691780045157
100066.169100299,25.947607113428,0.000213398495455305
100066.468237095,26.0950274277883,0.000216316536300179
100066.767373891,26.1983743361876,0.00021922504923472
100067.066510686,26.2676019619121,0.000222125396283042
100067.365647482,26.3108767319222,0.000225018015745938
100067.664784278,26.3347859386426,0.000227902594579674
100067.963921074,26.3445553911381,0.00023077822317105
100068.344571959,26.3428902476088,0.000234422340152193
100068.725222844,26.3310208915419,0.000238046151835455
100069.105873729,26.3131125065692,0.00024164553605236
100069.486524614,26.2918665017546,0.000245216150645796
100069.867175499,26.2689201735013,0.000248753655138959
100070.247826384,26.2451535977438,0.000252253873789839
100070.838004701,26.2075543403693,0.000257598140151657
100071.428183017,26.1687759603295,0.000262830976687341
100072.018361333,26.1279960705959,0.000267942453090851
100072.608539649,26.0845351354901,0.000272925537553474
100073.198717965,26.0380856050956,0.000277775913795153
100073.788896281,25.9886998641448,0.000282491647143561
100074.788896281,25.8995841586162,0.000290175463578655
100075.788896281,25.807099905089,0.000297484551569172
100076.788896281,25.7168904441282,0.000304439284905415
100077.788896281,25.6352280103044,0.000311064563463895
100078.788896281,25.5675660418002,0.000317386532355699
100079.788896281,25.5177879381472,0.000323430677352073
100080.788896281,25.4883459814865,0.000329220825825168
100081.788896281,25.4810425874048,0.000334778737110222
100082.788896281,25.4966990289151,0.000340123588917484
100083.788896281,25.5351905093198,0.000345271936088626
100084.788896281,25.5957019470449,0.000350237988194642
100085.788896281,25.6769925058903,0.000355033973083024
100086.788896281,25.7775776790064,0.000359670451530832
100087.788896281,25.8958385055695,0.000364156572384129
100088.788896281,26.0300923379127,0.000368500299158201
100089.788896281,26.1786462696947,0.000372708621260955
100090.788896281,26.3398397423378,0.000376787742837337
100091.788896281,26.5120766506979,0.000380743240557153
100092.788896281,26.693846464908,0.000384580189322349
100093.788896281,26.8837351848237,0.00038830326060529
100094.788896281,27.0804285412203,0.000391916799392748
100095.788896281,27.2827105371285,0.000395424884669652
100096.788896281,27.4894598330009,0.000398831376980302
100097.788896281,27.6996452818295,0.000402139955533676
100098.788896281,27.9123210034453,0.000405354146680732
100099.788896281,28.1266210865529,0.000408477345317502
100100.788896281,28.3417540840171,0.000411512830665704
100101.788896281,28.5570061101571,0.000414463790491517
