Time,Vm,Cai
51.66,-75.3657836689361,0.00016460279087291
52.66,-75.3600876268841,0.000163768803978604
53.66,-75.3543946501856,0.000162941995821769
54.66,-75.3487054188881,0.000162122301841908
55.66,-75.3430205521498,0.000161309658005613
56.66,-75.3373406119593,0.000160504000803933
57.66,-75.3316661066207,0.000159705267249719
58.66,-75.3259974940176,0.000158913394874962
59.66,-75.3203351846734,0.000158128321728118
60.66,-75.3146795446195,0.000157349986371431
61.66,-75.3090308980848,0.00015657832787824
62.66,-75.3033895300193,0.000155813285830292
63.66,-75.2977556884609,0.000155054800315033
64.66,-75.2921295867574,0.000154302811922917
65.66,-75.2865114056516,0.00015355726174469
66.66,-75.2809012952405,0.000152818091368685
67.66,-75.2752993768138,0.000152085242878107
68.66,-75.269705744583,0.000151358658848322
69.66,-75.2641204673046,0.000150638282344134
70.66,-75.2585435898066,0.00014992405691707
71.66,-75.2529751344242,0.000149215926602659
72.66,-75.247415102349,0.000148513835917704
73.66,-75.2418634748985,0.00014781772985756
74.66,-75.2363202147107,0.000147127553893406
75.66,-75.2307852668679,0.000146443253969514
76.66,-75.2252585599549,0.000145764776500518
77.66,-75.2197400070553,0.000145092068368677
78.66,-75.214229506689,0.000144425076921141
79.66,-75.2087269436963,0.00014376374996721
80.66,-75.2032321900697,0.000143108035775592
81.66,-75.1977451057387,0.000142457883071658
82.66,-75.1922655393088,0.000141813241034694
83.66,-75.186793328758,0.000141174059295148
84.66,-75.1813283020944,0.000140540287931882
85.66,-75.1758702779749,0.000139911877469408
86.66,-75.17041906629,0.000139288778875132
87.66,-75.1649744687149,0.00013867094355659
88.66,-75.1595362792295,0.00013805832335868
89.66,-75.1541042846089,0.000137450870560895
90.66,-75.1486782648868,0.000136848537874548
91.66,-75.1432579937924,0.000136251278439995
92.66,-75.1378432391632,0.000135659045823859
93.66,-75.1324337633347,0.000135071794016246
94.66,-75.1270293235084,0.00013448947742796
95.66,-75.1216296720988,0.000133912050887716
96.66,-75.1162345570622,0.000133339469639349
97.66,-75.1108437222063,0.000132771689339021
98.66,-75.1054569074834,0.000132208666052425
99.66,-75.1000738492666,0.000131650356251989
100.66,-75.0946942806117,0.000131096716814078
101.66,-75.089317931504,0.000130547705016186
102.66,-75.0839445290914,0.000130003278534143
103.66,-75.0785737979054,0.000129463395439302
104.66,-75.0732054600692,0.000128928014195739
105.66,-75.0678392354949,0.000128397093657446
106.66,-75.0624748420692,0.000127870593065525
107.66,-75.0571119958293,0.00012734847204538
108.66,-75.0517504111296,0.00012683069060391
109.66,-75.0463898007976,0.000126317209126706
110.66,-75.0410298762833,0.000125807988375243
111.66,-75.0356703477985,0.000125302989484075
112.66,-75.0303109244493,0.000124802173958036
113.66,-75.0249513143612,0.000124305503669431
114.66,-75.0195912247966,0.000123812940855244
115.66,-75.0142303622668,0.000123324448114338
116.66,-75.0088684326364,0.000122839988404662
117.66,-75.0035051412228,0.000122359525040454
118.66,-74.9981401928894,0.000121883021689463
119.66,-74.9927732921339,0.000121410442370157
120.66,-74.9874041431715,0.000120941751448947
121.66,-74.9820324500126,0.000120476913637409
122.66,-74.9766579165371,0.000120015893989516
123.66,-74.971280246563,0.000119558657898873
124.66,-74.965899143912,0.000119105171095954
125.66,-74.9605143124705,0.000118655399645352
126.66,-74.9551254562474,0.000118209309943028
127.66,-74.9497322794273,0.000117766868713576
128.66,-74.9443344864217,0.000117328043007482
129.66,-74.9389317819161,0.000116892800198401
130.66,-74.9335238709139,0.000116461107980442
131.66,-74.9281104587779,0.000116032934365451
132.66,-74.9226912512688,0.000115608247680311
133.66,-74.9172659545811,0.000115187016564252
134.66,-74.911834275376,0.000114769209966162
135.66,-74.9063959208123,0.000114354797141912
136.66,-74.9009505985754,0.000113943747651694
137.66,-74.8954980169027,0.000113536031357364
138.66,-74.8900378846088,0.000113131618419795
139.66,-74.8845699111064,0.000112730479296245
140.66,-74.8790938064277,0.000112332584737732
141.66,-74.8736092812416,0.000111937905786421
142.66,-74.8681160468711,0.000111546413773025
143.66,-74.8626138153076,0.000111158080314214
144.66,-74.857102299224,0.000110772877310039
145.66,-74.8515812119868,0.000110390776941365
146.66,-74.8460502676656,0.000110011751667321
147.66,-74.8405091810418,0.000109635774222757
148.66,-74.8349576676163,0.000109262817615722
149.66,-74.8293954436146,0.000108892855124944
150.66,-74.8238222259918,0.000108525860297338
151.66,-74.8182377324359,0.00010816180694551
152.66,-74.8126416813697,0.000107800669145293
153.66,-74.8070337919519,0.000107442421233284
154.66,-74.8014137840765,0.0001070870378044
155.66,-74.7957813783721,0.000106734493709449
156.66,-74.7901362961991,0.000106384764052714
157.66,-74.7844782596463,0.000106037824189556
158.66,-74.778806991527,0.000105693649724022
159.66,-74.773122215373,0.00010535221650648
160.66,-74.7674236554289,0.000105013500631262
161.66,-74.7617110366445,0.000104677478434326
162.66,-74.7559840846672,0.000104344126490929
163.66,-74.7502425258327,0.00010401342161332
164.66,-74.7444860871554,0.000103685340848448
165.66,-74.7387144963179,0.000103359861475686
166.66,-74.7329274816598,0.000103036961004565
167.66,-74.7271247721652,0.000102716617172538
168.66,-74.7213060974501,0.000102398807942744
169.66,-74.7154711877488,0.0001020835115018
170.66,-74.7096197738994,0.000101770706257602
171.66,-74.7037515873289,0.00010146037083715
172.66,-74.6978663600373,0.000101152484084382
173.66,-74.6919638245815,0.000100847025058029
174.66,-74.6860437140578,0.000100543973029485
175.66,-74.6801057620844,0.000100243307480695
176.66,-74.6741497027829,9.99450081020568e-05
177.66,-74.6681752707592,9.96490547903454e-05
178.66,-74.662182201084,9.93554276466467e-05
179.66,-74.6561702292722,9.90641069743139e-05
180.66,-74.6501390912625,9.87750732769383e-05
181.66,-74.6440885233952,9.84883072563374e-05
182.66,-74.6380182623906,9.820378981056e-05
183.66,-74.631928045326,9.79215020319077e-05
184.66,-74.6258176096124,9.76414252049745e-05
185.66,-74.6196866929708,9.7363540804702e-05
186.66,-74.6135350334074,9.70878304944523e-05
187.66,-74.6073623691887,9.68142761240976e-05
188.66,-74.6011684388159,9.65428597281265e-05
189.66,-74.5949529809985,9.62735635237679e-05
190.66,-74.5887157346276,9.60063699091305e-05
191.66,-74.5824564387486,9.57412614613606e-05
192.66,-74.5761748325332,9.54782209348154e-05
193.66,-74.5698706552508,9.52172312592542e-05
194.66,-74.5635436462393,9.49582755380452e-05
195.66,-74.557193544876,9.47013370463903e-05
196.66,-74.5508200905467,9.44463992295651e-05
197.66,-74.5444230226153,9.41934457011769e-05
198.66,-74.5380020803925,9.39424602414384e-05
199.66,-74.5315570031033,9.36934267954583e-05
200.66,-74.5250875298552,9.34463294715478e-05
