0.00E+00,-6.50E+01
5.03E-01,-6.06E+01
1.01E+00,-5.61E+01
1.51E+00,-4.70E+01
2.01E+00,2.83E+01
2.51E+00,2.86E+01
3.02E+00,3.30E+00
3.52E+00,-2.04E+01
4.02E+00,-4.33E+01
4.52E+00,-7.17E+01
5.03E+00,-7.51E+01
5.53E+00,-7.46E+01
6.03E+00,-7.40E+01
6.53E+00,-7.33E+01
7.04E+00,-7.26E+01
7.54E+00,-7.17E+01
8.04E+00,-7.08E+01
8.54E+00,-6.98E+01
9.05E+00,-6.87E+01
9.55E+00,-6.77E+01
1.01E+01,-6.66E+01
1.06E+01,-6.56E+01
1.11E+01,-6.46E+01
1.16E+01,-6.36E+01
1.21E+01,-6.26E+01
1.26E+01,-6.17E+01
1.31E+01,-6.07E+01
1.36E+01,-5.98E+01
1.41E+01,-5.88E+01
1.46E+01,-5.78E+01
1.51E+01,-5.64E+01
1.56E+01,-5.45E+01
1.61E+01,-5.06E+01
1.66E+01,-3.42E+01
1.71E+01,3.07E+01
1.76E+01,8.69E+00
1.81E+01,-1.67E+01
1.86E+01,-3.96E+01
1.91E+01,-6.82E+01
1.96E+01,-7.49E+01
2.01E+01,-7.45E+01
2.06E+01,-7.39E+01
2.11E+01,-7.32E+01
2.16E+01,-7.25E+01
2.21E+01,-7.16E+01
2.26E+01,-7.06E+01
2.31E+01,-6.96E+01
2.36E+01,-6.86E+01
2.41E+01,-6.75E+01
2.46E+01,-6.65E+01
2.51E+01,-6.54E+01
2.56E+01,-6.44E+01
2.61E+01,-6.34E+01
2.66E+01,-6.25E+01
2.71E+01,-6.15E+01
2.76E+01,-6.06E+01
2.81E+01,-5.97E+01
2.86E+01,-5.88E+01
2.91E+01,-5.77E+01
2.96E+01,-5.65E+01
3.02E+01,-5.46E+01
3.07E+01,-5.10E+01
3.12E+01,-3.73E+01
3.17E+01,3.03E+01
3.22E+01,1.07E+01
3.27E+01,-1.50E+01
3.32E+01,-3.79E+01
3.37E+01,-6.64E+01
3.42E+01,-7.49E+01
3.47E+01,-7.46E+01
3.52E+01,-7.40E+01
